# Run ID, Channel, Hs, Ts,Hmax, Tmax, Hmean, Tmean, Hrms, m0, Hm0, Tp, Tm01, Tm02, Tm_10
run4,Channel 1,0.1203468023846271,2.403846153846152,0.20290589773039783,2.3000000000000114,0.07507415377912895,2.1589361702127654,0.08479592305591103,0.000902278257521713,0.12015178783666687,2.65,2.1119577034981454,1.8629125235403687,2.3934146038079063
run4,Channel 2,0.1303530415692085,2.376623376623374,0.2313823748174484,2.3999999999999773,0.0809613390617122,2.1956709956709957,0.09159538356336155,0.0009744719119933759,0.12486613068360056,2.65,1.9891613627333595,1.667727757073019,2.4706649403750776
run4,Channel 3,0.13831863705477196,2.357500000000001,0.2148863410697231,2.3000000000000114,0.08303804355651451,2.1041493775933606,0.09613416664292865,0.0009836588208888926,0.12545334245934733,2.446153846153846,1.787844761268322,1.5152689328484124,2.4296273794650296
run4,Channel 4,0.1425790738070439,2.3381720430107538,0.20653479127252033,2.3000000000000114,0.07991532520950537,1.8204301075268816,0.09625440688208511,0.0009522247095574655,0.12343255386209688,2.446153846153846,1.5211931852120826,1.2203636342674338,2.377273711466038
run4,Channel 5,0.10580583960867435,2.158522727272726,0.14615834598136007,3.5,0.06964804472035875,1.9190566037735848,0.07830252525553938,0.0005433257945119277,0.09323739975026568,2.446153846153846,1.3320174782783383,1.0404025225585956,2.591376211768553
run4,Channel 6,0.046699206417305204,2.5327380952380962,0.0684247507483499,2.799999999999983,0.032141963931913604,2.02410358565737,0.03575422907309682,0.00017655599051148106,0.05314974927677173,10.6,1.8978313143524366,1.247590545013402,4.899343053458224
run5,Channel 1,0.12326562748405542,2.03010752688172,0.2110022483758061,2.0500000000000043,0.07704051809870316,1.8296762589928055,0.08715596551000601,0.0009617246839327061,0.12404674499124634,1.9875,1.836798874167721,1.6800523678878763,2.0719022261317526
run5,Channel 2,0.12962623600474305,2.0135869565217392,0.21799233314873107,1.9500000000000455,0.0807445412963222,1.8339350180505414,0.09151774400469216,0.0010206165042635526,0.12778835654400147,1.9875,1.7480323213423,1.5583442072666538,2.094261231340058
run5,Channel 3,0.13680903463230354,2.032022471910113,0.227584877769219,2.0500000000000043,0.08644478702978144,1.902247191011236,0.09702365589173996,0.001024585809879842,0.1280366078825797,2.12,1.6287427289930065,1.3874739150377262,2.153370207384287
run5,Channel 4,0.13849331706050635,2.011009174311926,0.1886506852616433,2.4000000000000057,0.0773781838739181,1.5490853658536585,0.09359151834839607,0.0009863884112608422,0.12562728437793072,2.12,1.4456545706484347,1.2039758301307115,2.1978824179743497
run5,Channel 5,0.10291568193069053,1.8767676767676769,0.1442068946048117,1.9499999999999886,0.07033113427768788,1.7058724832214767,0.07748299769775627,0.0005439568562073862,0.09329153069447504,2.12,1.2447971133021198,0.9979337401824001,2.3534799548080287
run5,Channel 6,0.0449371611988438,2.270000000000001,0.061446854987011995,2.3000000000000114,0.032815487761136804,1.8706642066420662,0.03546606509476255,0.00016275382047202695,0.05103000222959461,10.6,1.6561891828660302,1.1011064279320488,4.765680797976652
run6,Channel 1,0.05973628163898345,1.9848484848484842,0.09436919502358881,2.0,0.03742547044980229,1.7018456375838926,0.042163840783873106,0.00023386111809367997,0.06117007347959359,2.12,1.7373463611247124,1.5554922894655845,1.9637251296568212
run6,Channel 2,0.061352772964128076,1.9596938775510202,0.10316861598437682,2.0,0.038692777804014096,1.7313993174061433,0.04354030801204928,0.00024636080905666665,0.06278354039799497,2.12,1.7751213561682055,1.6145007174247126,2.0439969240262763
run6,Channel 3,0.06272819931704601,1.9744897959183656,0.11005842472310859,2.0,0.0394861000973211,1.7300341296928325,0.044623871190522545,0.000253011858024028,0.06362538588004357,2.12,1.7364125863401394,1.5744605543064418,2.0307786269004566
run6,Channel 4,0.06302377196673989,1.939130434782608,0.1215201064696001,2.0,0.03246852285239315,1.2240338164251208,0.041390556352060355,0.0002742551000565729,0.06624259657429776,2.12,1.6780432650860742,1.4911551941681682,2.1361095597449897
run6,Channel 5,0.08335683890336021,1.923232323232323,0.1237080302621421,1.75,0.05045445217149228,1.7106418918918918,0.05797239265408571,0.0003015506923347288,0.06946086003898642,2.12,1.2357332446741756,1.0080671830632373,1.9449906312727578
run6,Channel 6,0.04354287771656068,1.8240909090909099,0.06290119680770054,2.3000000000000114,0.030503738728731685,1.5431610942249239,0.033521927114155754,0.00011687511159930102,0.04324351726662409,2.12,1.2117844827397033,0.9055228808018775,2.8931540433030376
run8,Channel 1,0.11884783136675646,1.6662393162393159,0.1960753993892299,1.75,0.07670489470075394,1.4626780626780627,0.08531692302550492,0.0009157576503533406,0.12104595162851771,1.6894736842105265,1.459251699629458,1.3251558704446098,1.6718915495062252
run8,Channel 2,0.12232604037988427,1.656637168141592,0.22518446064309286,1.4499999999999886,0.07833782579445978,1.5135693215339234,0.08788973882072919,0.0009202731103985899,0.1213440141349273,1.6894736842105265,1.439271995371513,1.2836597560011251,1.750617911782688
run8,Channel 3,0.12152833301683634,1.6830357142857149,0.19546574011908807,1.75,0.0794620899786856,1.5267857142857142,0.08795944695164848,0.0009027264519022498,0.12018162601011853,1.6894736842105265,1.4227147697119586,1.265501187935805,1.7937807008374769
